Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
Pasta Cup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,33
Oatmeal,grocery,no,no,,yes,USDA Certified Organic,na,,no,,37.26
Bread Products,baked,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),61.18
Cookies ,grocery,no,no,,no,,na,,no,,76
Bars ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,106
Vitamin C Cough Drops,grocery,no,no,,no,,na,,no,,22.2
Chips ,grocery,no,no,,no,,na,,no,,157
Pea Crisp,grocery,no,no,,no,,na,,no,,45
Edamame,produce,no,no,,no,,na,,no,,10.46
Chicken Noodle Soup,grocery,no,no,,no,,na,,no,,10.64
Movie Popcorn,grocery,no,no,,no,,na,,no,,4.4
Crakers ,grocery,no,no,,no,,na,,no,,84
Brownie Brittle Chocolate Chip,grocery,no,no,,no,,no,,no,,7.29
Miso,grocery,no,no,,yes,USDA Certified Organic,na,,no,,14
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,90
Granola,grocery,no,no,,no,,na,,no,,80
Multi Grain Bread,baked,no,no,,yes,USDA Certified Organic,na,,no,,18.37
Almonds,grocery,no,no,,no,,na,,no,,30.7
Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,84
Large brown eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,47.97
Chicken ,poultry,no,no,,no,,no,,no,,1489
Goat Cheese ,dairy,no,no,,no,,na,,no,,67.44
Yogurt,dairy,no,no,,no,,no,,no,,264.92
Sunflower Seeds ,grocery,no,no,,no,,na,,no,,38.01
Pork ,meat,yes,no,,no,,no,,no,,293
Yogurt ,dairy,no,no,,no,,no,,no,,39.84
Organic Cookie Dough,baked,no,no,,yes,USDA Certified Organic,no,,no,,20.53
Gluten Free Cookie Dough,baked,no,no,,no,,no,,no,,21.31
Juice ,beverages,no,no,,no,,na,,no,,43.56
Bars,grocery,no,no,,yes,,na,,no,,41.52
Chia and Kombucha Beverages,beverages,no,no,,yes,USDA Certified Organic,na,,no,,255.6
Cookies ,baked,no,no,,no,,na,,no,,51.09
Pad Thai Noodle Bowl,grocery,no,no,,no,,na,,no,,16.77
Tea,teacoffee,no,yes,,yes,Fair Trade Certified,na,,no,,21.46
Chocolate,grocery,no,no,,no,,na,,no,,22.08
Guacamole,grocery,no,no,,no,,na,,no,,78.63
Frozen Meals,grocery,no,no,,yes,USDA Certified Organic,na,,no,,469.31
Prepared Foods,grocery,no,no,,no,,na,,no,,252.95
Ice Cream,grocery,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,USDA Certified Organic,na,,no,,234.29
Burritos,grocery,no,no,,no,,na,,no,,72.21
Chicken Nuggets,poultry,no,no,,no,,no,,no,,43.54
Ice Cream Sandwich,grocery,no,no,,no,,na,,no,,30.24
Jasmine Rice,grocery,no,no,,no,,na,,no,,18.7
Ice Cream,dairy,no,no,,no,,no,,no,,159.45
Frozen Meals,grocery,no,no,,no,,na,,no,,100.1
Cookie and Brownie,baked,no,no,,no,,na,,no,,35.57
Emergen-C,grocery,no,no,,no,,na,,no,,19
Popcorn,grocery,no,no,,no,,na,,no,,30.35
Granola and Cookie,baked,no,no,,yes,Rainforest Alliance Certified,na,,no,,42.54
Tea,teacoffee,no,no,,no,,na,,no,,14.79
Snap Pea Crisps,grocery,no,no,,no,,na,,no,,46.76
Chocolate,grocery,no,no,,no,,na,,no,,72.21
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,78.5
Edamame,produce,no,no,,no,,na,,no,,10.46
Tortilla Chips,grocery,no,no,,no,,na,,no,,75.42
Tortilla Chips,grocery,no,no,,no,,na,,no,,52
Cereal,grocery,no,no,,no,,na,,no,,131.54
Potato Chips,grocery,no,no,,no,,na,,no,,150.55
Fruit Bar,grocery,no,no,,no,,na,,no,,16.75
Apple Sauce,grocery,no,no,,yes,USDA Certified Organic,na,,no,,11.82
Quadratini Wafers,grocery,no,no,,no,,na,,no,,76.47
Cereal,grocery,no,no,,no,,na,,no,,39.7
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,34.5
Soup,grocery,no,no,,no,,na,,no,,12.95
Chicken Noodle Soup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,32.37
Wild Berry Cereal,grocery,no,no,,no,,na,,no,,19.79
Tortillas,grocery,no,no,,yes,USDA Certified Organic,no,,no,,40.62
Popcorn,grocery,no,no,,no,,na,,no,,55.18
Ginger Beer,beverages,no,no,,no,,na,,no,,23
Rice,grocery,no,no,,yes,USDA Certified Organic,no,,no,,19.57
Cough Drops,grocery,no,no,,no,,na,,no,,19.39
Soy Milk,beverages,no,no,,no,,na,,no,,63.3
Thyme,grocery,no,no,,no,USDA Certified Organic,na,,no,,8.81
Pita Chips,grocery,no,no,,no,,na,,no,,105.48
Noodles,grocery,no,no,,no,,na,,no,,17.7
Tea,beverages,no,no,,no,,na,,no,,34.59
Almond Milk,grocery,no,no,,no,,na,,no,,24.53
Dungness Crab ,fish,no,no,,yes,Monterey Bay Aquarium Regional Seafood Watch Guide ñBest Choicesî,no,,no,,305
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,107.3
Coho Salmon,fish,no,no,,yes,,no,,no,,362.3
Drinks,beverages,no,no,,yes,,na,,yes,,762
"baking ingredients, pastries ",baked,no,no,,no,,na,,no,,459.78
Bread,baked,no,no,,no,,na,,no,,2499.27
Chicken,poultry,no,no,,no,,no,,no,,8830.1
Hummus,grocery,yes,no,,no,,na,,no,,35.72
Yogurt,dairy,no,no,,no,,na,,no,,164.99
Turkey,poultry,yes,no,,no,,no,,no,,977.04
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,74.28
ENergy Drink,beverages,no,no,,no,,na,,no,,187
Cookie Dough,baked,no,no,,yes,,na,,no,,34.5
Drinks - Fruit ,beverages,no,no,,no,,na,,no,,763
Dips+Spreads,grocery,yes,no,,yes,USDA Certified Organic,na,,no,,78.8
Beef,meat,yes,no,,no,,no,,no,,2321.69
Soda,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,112.05
Duck,poultry,yes,no,,no,,no,,no,,112.32
yogurt ,dairy,no,no,,no,,na,,no,,38.16
Soda,beverages,no,no,,no,,na,,no,,226.75
Tea ,teacoffee,no,no,,no,,na,,no,,144
Tea,beverages,no,no,,no,,na,,no,,45.75
Cookies,grocery,no,no,,no,,no,,no,,120.9
Drinks,beverages,no,no,,no,,na,,no,,347
Drinks,beverages,no,no,,no,,na,,no,,53
Granola ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,273
Juice Drink,beverages,no,no,,no,,na,,no,,105
Pork,meat,yes,no,,no,,no,,no,,3468.59
Cheese,dairy,no,no,,no,,no,,no,,951
Soup Bowl,grocery,no,no,,no,,na,,no,,65.57
Cookies ,baked,no,no,,no,,na,,no,,76.96
Tea,beverages,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,91.5
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,75
Single Cup,grocery,no,no,,no,,no,,no,,33.72
Drinks,beverages,no,no,,no,,na,,no,,67.9
Hummus with pretzels,grocery,no,no,,no,,na,,no,,63.12
Canned Tuna,fish,no,no,,no,,no,,no,,67.18
Mayonnaise,grocery,no,no,,no,,na,,no,,134.86
Drinks,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,124.8
Spices ,grocery,no,no,,no,,na,,no,,407
Cookie Dough,baked,no,no,,no,,na,,no,,56.96
Juices,beverages,no,no,,no,,na,,no,,342.44
Cheese,dairy,no,no,,no,,na,,no,,97.9
Oat Bars ,grocery,yes,no,,yes,,na,,no,,109.64
"Ham, Saussage",meat,no,no,,no,,no,,no,,200.75
Chips,grocery,no,no,,no,,na,,no,,158.5
Bean,meat,no,no,,no,,no,,no,,24.91
Tofu,grocery,no,no,,yes,USDA Certified Organic,no,,no,,75.72
Eggs ,eggs,no,no,,no,,no,USDA Cage-Free (eggs),no,,146
Tempeh,grocery,no,no,,yes,USDA Certified Organic,na,,no,,67.62
Tea,beverages,no,no,,no,,na,,no,,96.9
Snap Peas,grocery,no,no,,no,,na,,no,,46.32
Sausage,meat,no,no,,no,,na,,no,,35.63
Tortilla ,baked,no,no,,no,,na,,no,,42
Bottled Water,beverages,no,no,,yes,,na,,no,,46
Chai Concentrate,beverages,no,no,,yes,USDA Certified Organic,na,,no,,154.72
Sausage Rope,meat,no,no,,no,,na,,no,,29.05
Bread ,baked,no,no,,no,,na,,no,,27
Cider and hot chocolate mix,beverages,no,no,,no,,na,,no,,165.98
Sausage,meat,no,no,,no,,na,,no,,33.94
Cereal,grocery,no,no,,no,,na,,no,,140.52
Granola,grocery,no,no,,no,,na,,no,,80.16
Crackers,grocery,no,no,,yes,USDA Certified Organic,na,,no,,68.3
Potato ,grocery,no,no,,no,,na,,no,,41
Ham,meat,no,no,,no,,na,,no,,96.66
Peas,grocery,no,no,,no,,na,,no,,32
Chicken,poultry,no,no,,no,,na,,no,,159.15
Rainbow Sprinkles,grocery,no,no,,no,,na,,no,,48.01
Miso Soup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,14.77
Turkey,meat,no,no,,no,,na,,no,,47.06
Sysco Fruit and spreads,grocery,no,no,,no,,na,,no,,233.32
Gum,grocery,no,no,,no,,na,,no,,39.64
Pepperoni,meat,no,no,,no,,na,,no,,81.45
Cream Cheese,dairy,no,no,,no,,no,,no,,22.82
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,92.55
"Salt, Pepper, Cranberries,  ",grocery,no,no,,no,,na,,no,,186
Potatoes ,grocery,no,no,,no,,na,,no,,448
Hummus,grocery,no,no,,no,,na,,no,,105
Hot Sauce,grocery,no,no,,no,,na,,no,,59.79
Frozen Fruit ,grocery,no,no,,no,,na,,no,,92
Sliced Almonds,grocery,no,no,,no,,na,,no,,63.9
Whipped Topping,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,118.77
Soy Sauce,grocery,no,no,,no,,na,,no,,11.73
Soft Drinks,beverages,no,no,,no,,na,,no,,777.3
Drinks,beverages,no,no,,no,,na,,no,,352
Cod loin,fish,no,no,,yes,,no,,no,,407.8
Dough Rolls,baked,no,no,,no,,na,,no,,46.14
Coffee/Tea,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,278
Edamame,grocery,no,no,,no,,na,,no,,56.96
Turbinado Sugar,grocery,no,no,,no,,na,,no,,22.93
Danish,baked,no,no,,no,,na,,no,,39.8
"Cereal, Jam, Oats, Chips",grocery,no,no,,no,,na,,no,,190
Spices,grocery,no,no,,no,,na,,no,,251.19
Onion Rings,grocery,no,no,,no,,na,,no,,36.99
Assorted Oatmeal,grocery,no,no,,no,,na,,no,,49.11
Cliff Bar ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,22
Tomatos,produce,no,no,,no,,na,,no,,75.6
Oyster Crackers,grocery,no,no,,no,,na,,no,,23.02
Various Groceries,grocery,no,no,,no,,na,,no,,442.06
Pies,baked,no,no,,no,,na,,no,,87.35
Milk/Cheese ,dairy,no,no,,no,,no,,no,,104
Oil,grocery,no,no,,no,,na,,no,,247
French Sub Roll,baked,no,no,,no,,no,,no,,69.8
Pasta,grocery,no,no,,no,,na,,no,,74.2
Dried Cranberries,grocery,no,no,,no,,na,,no,,27.82
Ketchup,grocery,no,no,,no,,na,,no,,50.24
French Fries,grocery,no,no,,no,,na,,no,,64.86
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,19.71
Cake Cones,grocery,no,no,,no,,na,,no,,43.01
Herbs,produce,yes,no,,yes,USDA Certified Organic,na,,no,,70
Sysco groceries,grocery,no,no,,no,,na,,no,,1325.75
dairy products (see notes) ,dairy,no,no,,no,,na,,no,,2432.71
Yogurt,dairy,no,no,,no,,no,,no,,16.28
Cheese Stick,dairy,no,no,,no,,na,,no,,136.08
Tortillas,grocery,no,no,,no,,na,,no,,23.21
Cheese and yoghurt,dairy,no,no,,no,,no,,no,,517.31
Cream Cheese,dairy,no,no,,no,,no,,no,,68.17
Soy Milk,beverages,no,no,,no,,na,,no,,112.66
Eggs,eggs,no,no,,yes,,no,,no,,116.58
Garbanzo Beans,grocery,no,no,,no,,na,,no,,26.64
Eggs,eggs,no,no,,no,,no,,no,,216.56
Fruits and Vegetables ,produce,no,no,,no,,na,,no,,823
Flour,grocery,no,no,,no,,na,,no,,31.08
Spring Mix Salad ,produce,no,no,,yes,USDA Certified Organic,na,,no,,53
Milk ,dairy,no,no,Fair Trade Certified by Ecocert,yes,USDA Certified Organic,na,,no,,64.4
Lite Soy Sauce,grocery,no,no,,no,,na,,no,,38.98
Tempeh,produce,no,no,,no,,no,,no,,67.62
Tofu,produce,no,no,,yes,,na,,no,,50.48
Cereal Oats,grocery,no,no,,no,,na,,no,,33.94
Cookies,baked,no,no,,no,,no,,no,,332.73
White Rice,grocery,no,no,,no,,na,,no,,69.74
Rice Vinegar,grocery,no,no,,no,,na,,no,,45.1
Herbs,produce,yes,no,,yes,,na,,no,,25.6
FSA Produce,produce,no,no,,no,,na,,no,,2702.4
Noodles,grocery,no,no,,no,,no,,no,,23.07
Food Services of America Produce,produce,no,no,,no,,na,,no,,1411.36
Colorado Potatoes,produce,yes,no,,no,,na,,no,,51.72
Herbs,produce,yes,no,,yes,,na,,no,,21.52
Salad Spring Mix ,produce,no,no,,yes,,na,,no,,132.7
Old Bay,grocery,no,no,,no,,na,,no,,9.4
Salad Spring Mix,produce,no,no,,yes,USDA Certified Organic,na,,no,,79.62
Food Services of America Procuce,produce,no,no,,no,,na,,no,,5211.47
Rice,grocery,no,no,,no,,na,,no,,101.57
Tempura Batter,grocery,no,no,,no,,na,,no,,29.58
Cheese,dairy,no,no,,no,,no,,no,,101.36
Ginger,grocery,no,no,,no,,na,,no,,29.19
Caramel Topping,grocery,no,no,,no,,na,,no,,5.74
Water Chestnut,grocery,no,no,,no,,na,,no,,29.57
Mustard,grocery,no,no,,no,,na,,no,,26.27
Balsamic Vinegar,grocery,no,no,,no,,na,,no,,23.62
Buttermilk Biscuit Mix,baked,no,no,,no,,na,,no,,39.92
Udon Noodles,grocery,no,no,,no,,na,,no,,31.9
Bread Products,baked,no,no,,no,,na,,no,,699.07
New Age Beverages,beverages,no,no,,no,,na,,no,,1412.5
Organic New Age Beverages,beverages,no,no,,yes,,na,,no,,211
Beverages,beverages,no,no,,no,,na,,no,,130.67
Energy drinks,beverages,yes,no,,no,,na,,no,,34
Cream Cheese,grocery,no,no,,no,,na,,no,,74.09
Havarti Cheese,dairy,no,no,,no,,na,,no,,45.34
Cream Cheese,grocery,no,no,,no,,na,,no,,34
Egg WHL Liquid,dairy,no,no,,no,,na,,no,,866.24
Cheese,dairy,no,no,,no,,na,,no,,797.19
Eggs,eggs,no,no,,no,,yes,Certified Humane by Humane Farm Animal Care,no,,155.44
Edamame,grocery,no,no,,no,,na,,no,,56.96
Whipped Topping,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,118.77
Frozen Cranberries,grocery,no,no,,no,,na,,no,,16.53
Veggie Burger,grocery,no,no,,no,,na,,no,,201.8
Garbanzo Beans,grocery,no,no,,no,,na,,no,,26.64
Confectioner's Sugar,grocery,no,no,,no,,na,,no,,201.8
Spices,grocery,no,no,,no,,na,,no,,36.84
Pickels,grocery,no,no,,no,,na,,no,,65.76
Tomatos,produce,no,no,,no,,na,,no,,50.4
Oil,grocery,no,no,,no,,na,,no,,178.42
Tortillas,grocery,no,no,,no,,na,,no,,64.81
Orzo Pasta,grocery,no,no,,no,,na,,no,,36.84
White Hominy,grocery,no,no,,no,,na,,no,,21.87
Tomatillo,grocery,no,no,,no,,na,,no,,34.98
Horseradish,grocery,no,no,,no,,na,,no,,16.31
Buttermilk Pancake Mix,grocery,no,no,,no,,na,,no,,26.58
Vanilla Extract,grocery,no,no,,no,,na,,no,,16.24
Pistachios,grocery,no,no,,no,,na,,no,,104.45
Black Beans,grocery,no,no,,no,,na,,no,,19.99
Pickled Ginger,grocery,no,no,,no,,na,,no,,29.19
Confectioners Sugar,grocery,no,no,,no,,na,,no,,67.18
Queso Cheese,dairy,no,no,,no,,na,,no,,52.44
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,63.1
Meat,meat,no,no,,no,,na,,no,,114.15
Salami,meat,no,no,,no,,na,,no,,43.95
Meat,meat,no,no,,no,,na,,no,,229.47
Cod,fish,no,no,,no,,na,,no,,203.9
Tuna,fish,no,no,,no,,na,,no,,67.18
Tortillas,grocery,no,no,,no,,na,,no,,21.48
Sour Patch Kids,grocery,no,no,,no,,na,,no,,21.82
Philly Cheese Steak,grocery,no,no,,no,,na,,no,,32.54
Chicken Sandwich,grocery,no,no,,no,,na,,no,,45.06
Limeade,beverages,no,no,,no,,na,,no,,16.07
Apple Chips,grocery,no,no,,no,,na,,no,,9.26
Cheez-Its,grocery,no,no,,no,,na,,no,,8.24
Cherry Delight/Survival Mix,grocery,no,no,,no,,na,,no,,54.29
Beef Jerky,grocery,no,no,,no,,na,,no,,37.57
Poptarts,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,9.78
Pretzels,grocery,no,no,,no,,na,,no,,5.17
Pistachios,grocery,no,no,,no,,na,,no,,20.61
Fudge Stripes,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,37.68
Chips Ahoy,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,19.44
Nilla Wafers,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,10.32
Candy,grocery,no,no,,no,,na,,no,,21.62
Take 5 Candy Bar ,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,15.84
Candy,grocery,no,no,,no,,na,,no,,11.36
Pancake Mix,grocery,no,no,,no,,na,,no,,5.7
Syrup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,8.28
bagel bites,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,100.8
Pizza,grocery,no,no,,no,,na,,no,,38.4
Frosted Flakes,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,54.6
Lime Juice,grocery,no,no,,no,,na,,no,,9.6
Mac & Cheese,grocery,no,no,,no,,na,,no,,26.28
Pizza Rolls,grocery,no,no,,no,,na,,no,,19.08
Milkshakes,beverages,no,no,,no,,na,,no,,226.2
Lunchable,grocery,no,no,,no,,na,,no,,27.52
Raspberry Zingers,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,7.07
Tortillas,grocery,no,no,,no,,na,,no,,4.68
bread,grocery,no,no,,no,,na,,no,,4.42
Popcorn,grocery,no,no,,no,,na,,no,,8.8
Brownies,baked,no,no,,no,,na,,no,,7.2
Pizza,grocery,no,no,,no,,na,,no,,39.26
Philly Cheese Steak,grocery,no,no,,no,,na,,no,,32.54
Fast Food,grocery,no,no,,no,,na,,no,,63.4
Chocolate Chip Cookie,grocery,no,no,,no,,na,,no,,11.74
Pumpkin Cup,grocery,no,no,,no,,na,,no,,20.32
Tea,beverages,no,no,,no,,na,,no,,19.86
Almond/Soy Chocolate Milk,beverages,no,no,,no,,na,,no,,34.82
Juice,beverages,no,no,,no,,na,,no,,64.28
Energy Bar,grocery,no,no,,no,,na,,no,,8.59
Hot Buffalo Chips,grocery,no,no,,no,,na,,no,,6.12
Crackers,grocery,no,no,,no,,na,,no,,48.84
Taco-litos,grocery,no,no,,no,,na,,no,,10.15
Snack Mix,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),10.2
Banana Chips,grocery,no,no,,no,,na,,no,,15.49
Hummus Chips,grocery,no,no,,no,,na,,no,,4.6
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,30.71
Bar,grocery,no,no,,no,,na,,no,,7.27
Nutella & go!,grocery,no,no,,no,,na,,no,,13.19
Goldfish,grocery,no,no,,no,,na,,no,,12.62
Poptarts,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,6.52
Energy bar,grocery,no,no,,no,,na,,no,,42.22
Chips,grocery,no,no,,no,,na,,no,,6.56
Brownie ,baked,no,no,,no,,na,,no,,18.72
Popcorn,grocery,no,no,,no,,na,,no,,8.96
Junk Food,grocery,no,no,,no,,na,,no,,18.82
Pretzels,grocery,no,no,,no,,na,,no,,24.1
Chips,grocery,no,no,,no,,na,,no,,18.4
Pistachios,grocery,no,no,,no,,na,,no,,20.61
Crackers,grocery,no,no,,no,,na,,no,,25.44
Pecans,produce,no,no,,no,,na,,no,,36
Organic Produce,produce,no,no,,yes,USDA Certified Organic,na,,no,,107.95
Crackers,grocery,no,no,,no,,na,,no,,56.94
Squash,produce,yes,no,,yes,USDA Certified Organic,na,,no,,38.25
Yogurt Bars,grocery,no,no,,no,,na,,no,,18.52
Drink,beverages,no,no,,yes,USDA Certified Organic,na,,no,,135
Chai,beverages,no,no,Fair Trade Certified by Fair Trade USA,yes,Fair Trade Certified,na,,no,,35
Gum,grocery,no,no,,no,,na,,no,,10.77
Eggs ,eggs,no,no,,no,,yes,USDA Certified Organic ,no,,47
Chocolate Covered Fruit,grocery,no,no,,no,,na,,no,,111.69
Multigrain Bread,baked,no,no,,no,,na,,no,,18.78
Butter ,dairy,no,no,,yes,USDA Certified Organic,no,,no,,48
Gum,grocery,no,no,,no,,na,,no,,14.96
Candy,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",10.91
Ice Cream Sandwich,dairy,no,no,,no,,no,,no,,90.72
Cookie Dough ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,62
Yogurt ,dairy,no,no,,no,,no,,no,,92
Candy,grocery,no,no,,no,,na,,no,,31.88
snacks,grocery,no,no,,no,,na,,no,,137.21
Candy,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",16.01
Cheddar Cheese,dairy,no,no,,no,,no,,no,,41.23
Kombucha ,beverages,no,no,,yes,USDA Certified Organic,na,,no,,28
Gum,grocery,no,no,,no,,na,,no,,38.56
Original aseptic ,dairy,no,no,,no,,na,,no,,12.42
Yogurt,dairy,no,no,,no,,no,,no,,79
Candy,grocery,no,no,,no,,na,,no,,54.39
GF Pizza Crust,baked,no,no,,no,,na,,no,,34.24
Candy,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",15.9
Candy Bar,grocery,no,no,,no,,na,,no,,11.88
Chicken ,meat,no,no,,no,,na,,no,,809.2
Candy,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",39.21
Guacamole ,grocery,no,no,,no,,na,,no,,52
Gum,grocery,no,no,,no,,na,,no,,27.48
Cookie Dough,baked,no,no,,yes,USDA Certified Organic,na,,no,,24.76
Meat ,meat,yes,no,,no,,na,,no,,824.2
Candy,grocery,no,no,,no,,na,,no,,11.36
Burritos ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,200
Candy,grocery,no,no,,no,,na,,no,,12.68
"Hummus, Dip, and stuffed grape leaves",grocery,no,no,,no,,no,,no,,139.32
Cookie Dough,baked,no,no,,no,,na,,no,,17.25
Honey,grocery,yes,no,,no,,na,,no,,33.84
Organic Cookie Dough,baked,no,no,,yes,USDA Certified Organic,na,,no,,20.53
Baking Soda,grocery,no,no,,no,,na,,no,,3.26
Baking Mix,grocery,no,no,,no,,na,,no,,36
Yogurt,dairy,no,no,,no,,na,,no,,141.42
Granulated Sugar,grocery,no,no,,no,,na,,no,,4.2
Soup,grocery,no,no,,no,,na,,no,,38.56
Soup,grocery,no,no,,no,,na,,no,,10.8
Pasta,grocery,no,no,,yes,USDA Certified Organic,na,,no,,161.84
Flour,grocery,no,no,,no,,na,,no,,5.84
Ice Cream ,dairy,no,yes,Fair Trade Certified by Ecocert,yes,Fair Trade Certified,no,,no,,33
Chocolate Syrup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,6.84
Ranch Dressing,grocery,no,no,,no,,na,,no,,24.36
Chicken,meat,no,no,,no,,na,,no,,3699.41
Soup,grocery,no,no,,no,,na,,no,,26.52
Tropicana Juice,beverages,no,no,,no,,no,,no,,51.36
Naked Juice,beverages,no,no,,no,,na,,no,,101.76
Peanut Butter,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),36.24
Hummus,grocery,no,no,,no,,na,,no,,86.4
Frosted Mini Wheats,grocery,no,no,,no,,na,,no,,64.96
Burrito,grocery,no,no,,no,,na,,no,,24
Ice Cream Sandwhich ,dairy,no,no,,no,,no,,no,,30
Seafood,fish,no,no,,yes,,no,,no,,868.39
Sliced ham and turkey,meat,no,no,,no,,yes,Global Animal Partnership Step 3,no,,92.12
Ice Cream ,dairy,no,no,,no,,no,,no,,124
Mac & Cheese,grocery,no,no,,no,,na,,no,,36
Brownie,baked,no,no,,no,,na,,no,,18.72
Mayo,grocery,no,no,,no,,na,,no,,8.1
Cheese,grocery,no,no,,no,,na,,no,,24.6
Salt,grocery,no,no,,no,,na,,no,,2.7
Cooking Spray,grocery,no,no,,no,,na,,no,,9.51
Poptarts,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,27.84
Aloe Vera Beverage,beverages,no,no,,no,,na,,no,,52.5
Quick Oats,grocery,no,no,,no,,na,,no,,33.84
Naan/Tikka ,grocery,no,no,,no,,na,,no,,99
Bakemark Products,baked,no,no,,no,,na,,no,,429.16
Soup,grocery,no,no,,no,,na,,no,,5.34
Meat ,meat,yes,no,,no,,na,,no,,10120.44
Mac and Cheese,grocery,no,no,,yes,USDA Certified Organic,na,,no,,16.86
CC Garden Produce,produce,yes,no,,yes,Campus Farm/Garden,na,,no,,250
Chuck Roll ,meat,yes,no,,no,,na,,no,,131.5
Mac & Cheese ,grocery,no,no,,no,,na,,no,,26.28
Chicken Ramen,grocery,no,no,,no,,na,,no,,5.04
Vitamin C ,grocery,no,no,,no,,na,,no,,28
Pizza Rolls,grocery,no,no,,no,,na,,no,,35.16
Energy Drink,beverages,no,no,,no,,na,,no,,120
Oil,grocery,no,no,,no,,na,,no,,16.08
Crackers,baked,no,no,,yes,USDA Certified Organic,na,,no,,16.63
Ice Cream Sandwich,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),17.44
Miso Bowl,grocery,no,no,,no,,na,,no,,32
Cheese,dairy,no,no,,no,,na,,no,,39.64
Pizza dough and burger buns,baked,no,no,,no,,na,,no,,989.84
Crakers ,grocery,no,no,,no,,na,,no,,73
Chips,grocery,yes,no,,no,,na,,no,,121.11
Mesa Winds Farm Produce,produce,yes,no,,yes,USDA Certified Organic,na,,no,,660
Cliff Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,62
Chocolate Almond Butter,grocery,no,yes,,yes,,na,,no,,55.49
Snap Crisps,grocery,no,no,,no,,na,,no,,77.2
Ice Cream,dairy,no,no,,yes,Fair Trade Certified,na,,no,,32.03
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,63.46
"Edamame, Chips",grocery,no,no,,no,,na,,no,,70
Zing bars,grocery,no,no,,no,,na,,no,,42.92
Tortilla Chips,grocery,yes,no,,yes,USDA Certified Organic,na,,no,,77.25
Milkshakes,grocery,no,no,,no,,na,,no,,134.42
Cheese,dairy,no,no,,no,,na,,no,,103.12
Chips,grocery,no,no,,no,,na,,no,,26
Cookies,baked,no,no,,yes,USDA Certified Organic,na,,no,,20.4
Lunchables,grocery,no,no,,no,,na,,no,,47.62
Wieners,grocery,no,no,,no,,na,,no,,18.48
Chocolate Chip ,grocery,no,no,,no,,na,,no,,37
Cheese,dairy,no,no,,no,,na,,no,,10.49
